| | 出現等級 | 11~15 | 偏向性 | 體質 | 技能數量 | 4 | 屬性 | 木 |
| --- | --- | --- | --- | --- | --- | --- | --- | --- |
| | 出現地點 | 尼克草原(11~15) | | | | | | |
| | 可學技能 | 恢復、賜福、轉換、吸血、亡命一擊、木系法術 | | | | | | |
| 木頭貝貝 | 掉寶資料 | 木頭貝貝卡、木頭貝貝娃娃、青竹棍、軟皮袍、牛奶、優格、雜七集卡冊 | | | | | | |

| | 出現等級 | 65 | 偏向性 | 力量 | 技能數量 | 4 | 屬性 | 水 |
| | 出現地點 | 米夏島(16~20) | | | | | | |
| | 可學技能 | 強化、恢復、連擊、裝死、賜福、推車、水系法術 | | | | | | |
| 福瑞龍 | 掉寶資料 | 福瑞龍卡、福瑞龍娃娃 | | | | | | |

| | 出現等級 | 21~25 | 偏向性 | 體質 | 技能數量 | 4 | 屬性 | 水 |
| | 出現地點 | 史蓋窩克海(21~25) | | | | | | |
| | 可學技能 | 恢復、賜福、轉換、吸血、亡命一擊、水系法術 | | | | | | |
| 水貝貝 | 掉寶資料 | 水貝貝卡、水貝貝娃娃、褐木棒、方盾、香蕉、草莓、水晶原石 | | | | | | |

| | 出現等級 | 65 | 偏向性 | 智慧 | 技能數量 | 4 | 屬性 | 火 |
| | 出現地點 | 金銀湖(26~30) | | | | | | |
| | 可學技能 | 強化、連擊、裝死、吸血、亡命一擊、火系法術 | | | | | | |
| 火雷獸 | 掉寶資料 | 火雷獸卡、火雷獸娃娃 | | | | | | |

| | 出現等級 | 65 | 偏向性 | 智慧 | 技能數量 | 4 | 屬性 | 木 |
| | 出現地點 | 天鵝湖(31~35) | | | | | | |
| | 可學技能 | 強化、豬頭、裝死、賜福、亡命一擊、木系法術 | | | | | | |
| 小木精靈 | 掉寶資料 | 小木精靈卡、小木精靈娃娃 | | | | | | |

| | 出現等級 | 45 | 偏向性 | 智慧 | 技能數量 | 4 | 屬性 | 光 |
| | 出現地點 | 秘密古墓B3(31~38) | | | | | | |
| | 可學技能 | 強化、連擊、裝死、吸血、亡命一擊、光系法術 | | | | | | |
| 光雷獸 | 掉寶資料 | 光雷獸卡、光雷獸娃娃、鈦礦石、象牙 | | | | | | |

| | 出現等級 | 35 | 偏向性 | 體質 | 技能數量 | 4 | 屬性 | 水 |
| | 出現地點 | 羅比特草原(31~40) | | | | | | |
| | 可學技能 | 強化、恢復、連擊、裝死、賜福、推車、水系法術 | | | | | | |
